Loan_ID,Age,Income,Employment_Length_Years,Home_Ownership,Loan_Intent,Loan_Amount,Interest_Rate,Loan_Status
10001,59,50592.0,9,RENT,MEDICAL,27792.0,6.45,1
10002,49,57173.0,5,MORTGAGE,EDUCATION,25131.0,8.21,0
10003,35,68204.0,8,RENT,MEDICAL,19264.0,8.5,1
10004,63,70596.0,3,OWN,VENTURE,14006.0,15.83,1
10005,28,69324.0,8,MORTGAGE,DEBTCONSOLIDATION,5149.0,8.15,0
10006,41,96202.0,10,OWN,EDUCATION,26660.0,13.53,1
10007,59,65750.0,12,MORTGAGE,DEBTCONSOLIDATION,9892.0,8.51,0
10008,39,111112.0,8,MORTGAGE,VENTURE,22528.0,17.56,0
10009,43,51566.0,5,MORTGAGE,EDUCATION,18136.0,18.69,1
10010,31,42190.0,4,RENT,PERSONAL,3168.0,12.76,1
10011,31,73333.0,2,MORTGAGE,MEDICAL,14356.0,10.43,0
10012,44,115905.0,13,MORTGAGE,VENTURE,5129.0,8.78,0
10013,56,36589.0,14,RENT,EDUCATION,17032.0,6.2,1
10014,60,60235.0,4,OWN,DEBTCONSOLIDATION,22029.0,9.26,1
10015,44,35159.0,14,RENT,EDUCATION,4526.0,14.66,1
10016,23,47145.0,2,MORTGAGE,PERSONAL,13059.0,12.97,0
10017,42,115909.0,4,MORTGAGE,VENTURE,5516.0,18.72,0
10018,22,66921.0,4,RENT,EDUCATION,21751.0,11.05,0
10019,44,51237.0,1,MORTGAGE,VENTURE,25722.0,15.21,1
10020,64,43244.0,13,RENT,VENTURE,12386.0,12.35,0
10021,50,49743.0,13,MORTGAGE,DEBTCONSOLIDATION,5555.0,12.68,0
10022,58,81101.0,8,OWN,MEDICAL,18012.0,9.25,1
10023,22,119227.0,14,RENT,PERSONAL,16157.0,11.87,1
10024,41,91378.0,6,RENT,EDUCATION,7111.0,12.09,0
10025,53,106126.0,13,RENT,MEDICAL,8752.0,15.39,1
10026,32,91071.0,5,MORTGAGE,DEBTCONSOLIDATION,18829.0,18.67,0
10027,42,106121.0,4,OWN,MEDICAL,8364.0,10.11,0
10028,64,109763.0,14,RENT,VENTURE,5626.0,6.09,0
10029,45,47237.0,3,RENT,VENTURE,22400.0,12.45,1
10030,47,50649.0,7,RENT,PERSONAL,5875.0,13.12,0
10031,62,72713.0,1,MORTGAGE,EDUCATION,7497.0,7.86,1
10032,48,108463.0,7,MORTGAGE,EDUCATION,17979.0,16.15,0
10033,36,80409.0,0,RENT,DEBTCONSOLIDATION,13529.0,19.29,1
10034,35,83766.0,9,OWN,PERSONAL,24622.0,18.74,1
10035,64,81154.0,0,RENT,EDUCATION,18645.0,8.26,1
10036,23,42016.0,2,MORTGAGE,VENTURE,28424.0,17.76,0
10037,57,114563.0,4,MORTGAGE,PERSONAL,23376.0,15.36,0
10038,27,83688.0,13,MORTGAGE,MEDICAL,15382.0,11.85,0
10039,41,89238.0,5,MORTGAGE,PERSONAL,6025.0,13.07,1
10040,29,93608.0,3,MORTGAGE,PERSONAL,12458.0,17.39,1
10041,59,66897.0,6,MORTGAGE,EDUCATION,15844.0,12.22,0
10042,38,85961.0,6,OWN,DEBTCONSOLIDATION,26667.0,10.72,0
10043,24,103703.0,1,RENT,DEBTCONSOLIDATION,22606.0,12.41,0
10044,45,79757.0,1,RENT,EDUCATION,6175.0,13.61,0
10045,34,61917.0,1,RENT,EDUCATION,29885.0,8.15,1
10046,29,57736.0,14,MORTGAGE,EDUCATION,11174.0,18.11,0
10047,46,62990.0,13,RENT,DEBTCONSOLIDATION,5443.0,14.94,1
10048,22,97551.0,14,RENT,EDUCATION,23395.0,14.37,1
10049,40,93161.0,1,OWN,MEDICAL,12725.0,6.89,0
10050,48,114623.0,12,RENT,MEDICAL,2693.0,13.96,1
10051,27,57440.0,8,OWN,VENTURE,10347.0,7.19,0
10052,64,70205.0,13,MORTGAGE,MEDICAL,13780.0,6.6,0
10053,28,115811.0,4,MORTGAGE,PERSONAL,20196.0,12.88,1
10054,55,90103.0,10,MORTGAGE,VENTURE,15841.0,11.14,0
10055,34,105812.0,7,OWN,MEDICAL,16254.0,13.74,1
10056,37,76627.0,4,OWN,PERSONAL,16021.0,6.75,0
10057,56,54008.0,12,RENT,MEDICAL,15368.0,11.53,1
10058,60,106274.0,10,MORTGAGE,PERSONAL,7724.0,7.95,0
10059,24,67402.0,4,RENT,EDUCATION,3407.0,19.32,1
10060,22,88384.0,0,RENT,PERSONAL,10032.0,13.36,1
10061,26,40793.0,5,MORTGAGE,EDUCATION,27792.0,15.12,1
10062,62,76258.0,3,RENT,PERSONAL,16572.0,10.06,0
10063,24,51209.0,14,RENT,PERSONAL,19794.0,6.83,1
10064,49,78148.0,2,RENT,MEDICAL,21881.0,19.16,0
10065,38,37224.0,5,RENT,PERSONAL,22756.0,9.51,1
10066,46,83695.0,1,RENT,MEDICAL,9394.0,11.43,1
10067,64,67441.0,7,RENT,PERSONAL,18935.0,14.6,0
10068,54,74129.0,0,MORTGAGE,DEBTCONSOLIDATION,13586.0,5.85,0
10069,30,97368.0,11,MORTGAGE,VENTURE,27752.0,16.84,1
10070,56,76258.0,8,RENT,MEDICAL,14926.0,13.01,1
10071,34,58478.0,7,MORTGAGE,MEDICAL,22716.0,9.4,1
10072,51,106854.0,0,RENT,EDUCATION,2997.0,6.36,0
10073,35,47180.0,9,RENT,DEBTCONSOLIDATION,22460.0,7.77,0
10074,28,50372.0,11,RENT,EDUCATION,16390.0,18.03,1
10075,34,64796.0,14,MORTGAGE,DEBTCONSOLIDATION,8099.0,15.1,0
10076,43,93272.0,8,RENT,DEBTCONSOLIDATION,23939.0,9.0,1
10077,60,89040.0,1,MORTGAGE,PERSONAL,29307.0,6.42,0
10078,41,110357.0,2,MORTGAGE,EDUCATION,22436.0,15.17,1
10079,36,106368.0,1,OWN,VENTURE,23687.0,13.51,0
10080,38,113356.0,12,MORTGAGE,DEBTCONSOLIDATION,26502.0,11.16,1
10081,44,51211.0,13,MORTGAGE,DEBTCONSOLIDATION,24486.0,10.59,1
10082,46,40842.0,7,RENT,MEDICAL,15509.0,8.54,0
10083,45,98115.0,1,RENT,PERSONAL,7490.0,14.87,0
10084,61,101852.0,9,MORTGAGE,VENTURE,26948.0,19.09,0
10085,49,80968.0,1,MORTGAGE,DEBTCONSOLIDATION,7616.0,7.96,1
10086,35,52508.0,14,RENT,MEDICAL,17958.0,13.86,0
10087,21,57005.0,0,RENT,EDUCATION,4248.0,11.44,0
10088,45,89575.0,6,OWN,DEBTCONSOLIDATION,19232.0,11.75,0
10089,27,115742.0,11,RENT,MEDICAL,12748.0,9.06,1
10090,29,53971.0,1,RENT,EDUCATION,12514.0,17.05,1
10091,44,60599.0,9,MORTGAGE,PERSONAL,24738.0,12.29,0
10092,21,101914.0,0,MORTGAGE,EDUCATION,10695.0,13.11,0
10093,64,102055.0,4,OWN,DEBTCONSOLIDATION,10070.0,9.77,0
10094,28,40355.0,2,MORTGAGE,VENTURE,29765.0,8.05,1
10095,44,89120.0,2,MORTGAGE,EDUCATION,10894.0,6.7,0
10096,31,109619.0,12,RENT,VENTURE,22009.0,15.5,0
10097,37,73342.0,11,RENT,VENTURE,18698.0,8.25,0
10098,28,113860.0,2,OWN,EDUCATION,17123.0,15.16,0
10099,55,37257.0,5,MORTGAGE,PERSONAL,4376.0,10.97,1
10100,55,62364.0,13,RENT,EDUCATION,27616.0,11.32,1
10101,53,59972.0,3,MORTGAGE,MEDICAL,6378.0,12.07,1
10102,25,61654.0,12,OWN,VENTURE,13182.0,10.65,0
10103,62,115769.0,2,RENT,DEBTCONSOLIDATION,26833.0,6.91,0
10104,59,116423.0,1,RENT,VENTURE,2574.0,9.83,0
10105,61,64320.0,12,RENT,DEBTCONSOLIDATION,15330.0,14.79,0
10106,48,55808.0,2,MORTGAGE,MEDICAL,28128.0,14.82,0
10107,27,87389.0,3,MORTGAGE,MEDICAL,23969.0,9.51,1
10108,29,69773.0,5,RENT,MEDICAL,23876.0,11.94,0
10109,28,86168.0,3,MORTGAGE,EDUCATION,10949.0,8.21,0
10110,32,62747.0,7,MORTGAGE,VENTURE,21194.0,8.45,1
10111,54,111396.0,2,OWN,DEBTCONSOLIDATION,26518.0,5.82,1
10112,53,118692.0,11,MORTGAGE,MEDICAL,27680.0,18.05,1
10113,43,92505.0,2,RENT,MEDICAL,7670.0,8.45,0
10114,44,53135.0,2,OWN,DEBTCONSOLIDATION,26099.0,8.69,1
10115,57,82377.0,7,RENT,VENTURE,8567.0,9.41,0
10116,55,58554.0,3,MORTGAGE,VENTURE,14716.0,7.28,0
10117,64,97491.0,0,RENT,DEBTCONSOLIDATION,21843.0,14.45,0
10118,60,90621.0,1,MORTGAGE,PERSONAL,8117.0,6.55,0
10119,42,93283.0,12,MORTGAGE,VENTURE,22376.0,7.38,0
10120,47,76258.0,13,RENT,DEBTCONSOLIDATION,9837.0,14.53,1
10121,55,82591.0,0,RENT,DEBTCONSOLIDATION,18587.0,10.26,1
10122,21,97261.0,12,OWN,MEDICAL,16531.0,15.41,1
10123,55,89336.0,12,OWN,DEBTCONSOLIDATION,21159.0,13.3,1
10124,57,109083.0,13,RENT,EDUCATION,28908.0,9.08,0
10125,34,95948.0,1,OWN,MEDICAL,20376.0,14.61,0
10126,23,68002.0,0,RENT,MEDICAL,20627.0,7.13,0
10127,21,115098.0,2,RENT,VENTURE,10498.0,13.01,1
10128,25,108016.0,5,RENT,PERSONAL,20071.0,11.62,0
10129,46,61672.0,7,RENT,VENTURE,6109.0,9.25,1
10130,34,39213.0,11,MORTGAGE,EDUCATION,20244.0,13.96,1
10131,59,45293.0,0,MORTGAGE,MEDICAL,28537.0,17.7,0
10132,47,90860.0,8,RENT,MEDICAL,23560.0,19.48,0
10133,29,97507.0,0,OWN,DEBTCONSOLIDATION,19106.0,14.01,1
10134,35,92134.0,9,RENT,PERSONAL,27355.0,11.17,0
10135,35,37100.0,1,OWN,PERSONAL,15521.0,8.65,0
10136,46,96997.0,2,RENT,DEBTCONSOLIDATION,10720.0,9.1,1
10137,62,63172.0,6,MORTGAGE,EDUCATION,6893.0,12.21,1
10138,33,55132.0,8,MORTGAGE,PERSONAL,18727.0,10.64,0
10139,52,53199.0,2,RENT,MEDICAL,23782.0,18.29,0
10140,59,71609.0,7,MORTGAGE,EDUCATION,10400.0,10.66,0
10141,52,77965.0,14,RENT,VENTURE,23120.0,10.73,1
10142,24,43016.0,8,RENT,VENTURE,21790.0,10.87,1
10143,50,74779.0,9,RENT,EDUCATION,27887.0,17.21,0
10144,57,66881.0,6,RENT,MEDICAL,28875.0,14.61,1
10145,43,117594.0,3,RENT,VENTURE,29912.0,14.1,1
10146,59,59472.0,3,RENT,MEDICAL,16606.0,10.18,0
10147,35,86813.0,3,RENT,DEBTCONSOLIDATION,12139.0,16.95,0
10148,63,71021.0,5,RENT,PERSONAL,19303.0,6.04,0
